CATEGORY,TYPE,DETAIL,REQUEST TYPE,Count
Trees,Permit,Ash Treatment,Trees - Permit - Ash Treatment,4
Trees,Permit,Plant,Trees-Permit-Plant,21
Trees,Permit,Remove,Trees-Permit-Remove,33
Trees,Permit,Trim,Trees-Permit-Trim,3
Trees,Private Property,Dead,Property Violations,367
Trees,Private Property,Hazardous,Trees-Private Property-Hazardous,63
Trees,Private Property,Tree Debris,Property Violations,924
Trees,Removal,Brush Pickup,Trees-Removal-Brush pickup,130
Trees,Removal,Declining,Trees-Removal-Declining,691
Trees,Removal,Dumping,Trees-Removal-Dumping,19
Trees,Removal,Stump,Trees-Removal-Stump,408
Trees,Removal,Tree Dead,Trees-Removal-Tree dead,1154
Trees,Removal,Tree Down,Trees-Removal-Tree down,526
Trees,Removal,Tree Limbs,Trees-Removal-Tree Limbs,1421
Trees,Services,EAB,Trees-Services-EAB,2
Trees,Services,Feedback,Trees-Services-Feedback,68
Trees,Services,Plant City Tree Request,Trees-Services-Plant City Tree Request,448
Trees,Services,Question,Trees-Services-Question,208
Trees,Services,Review,Trees-Services-Review,54
Trees,Services,Service Issue / Problem,Trees-Services-Service Issue / Problem,233
Trees,Storm Damage,Tree Down,Trees-Storm Damage-Tree Down,771
Trees,Storm Damage,Tree Limb / Brush,Trees-Storm Damage-Tree Limb / Brush,1647
Trees,Storm Damage,Trim,Trees-Storm Damage-Trim,180
Trees,Trimming,Block Pruning,Trees-Trimming-Block Pruning,640
Trees,Trimming,Seasonal,Trees-Trimming-Seasonal,2
Trees,Trimming,Streetlight,Trees-Trimming-Streetlight,27
Trees,Trimming,Tree Limbs,Trees-Trimming-Tree Limbs,3715
Trees,Trimming,Visibility,Trees-Trimming-Visibility,414
Vehicles / Parking,Abandoned On Street,Boat,Vehicles / Parking-Abandoned On Street-Boat,28
Vehicles / Parking,Abandoned On Street,Car,Vehicles / Parking-Abandoned On Street-Car,6561
Vehicles / Parking,Abandoned On Street,Other,Vehicles / Parking-Abandoned On Street-Other,949
Vehicles / Parking,Abandoned On Street,Trailer,Vehicles / Parking-Abandoned On Street-Trailer,443
Vehicles / Parking,Commercial Parking,Number of Handicap Spaces,Vehicles / Parking-Commercial Parking-Number of Handicap Spaces,14
Vehicles / Parking,Commercial Parking,Parking Surface - Pay Lot,Vehicles / Parking-Commercial Parking-Parking Surface - Pay Lot,1
Vehicles / Parking,Commercial Vehicle,On Private Property,Vehicles / Parking-Commercial Vehicle-On private property,93
Vehicles / Parking,Disabled/Unlicensed on Private Property,Boat Private Property,Property Violations,8
Vehicles / Parking,Disabled/Unlicensed on Private Property,Car Private Property,Property Violations,1035
Vehicles / Parking,Disabled/Unlicensed on Private Property,Other Private Property,Property Violations,225
Vehicles / Parking,Disabled/Unlicensed on Private Property,Trailer Private Property,Property Violations,53
Vehicles / Parking,Meter,Repair,Vehicles / Parking-Meter-Repair,128
Vehicles / Parking,Parked on Unapproved Surface,Boat Private Property,Property Violations,34
Vehicles / Parking,Parked on Unapproved Surface,Car Private Property,Property Violations,1129
Vehicles / Parking,Parked on Unapproved Surface,Other Private Property,Property Violations,264
Vehicles / Parking,Parked on Unapproved Surface,Trailer Private Property,Property Violations,110
Vehicles / Parking,Scooter,Feedback/Concern,Vehicle-Scooter-Feedback/Concern,38
Vehicles / Parking,Tow Services,Feedback,Vehicles / Parking-Tow Services-Feedback,7
Vehicles / Parking,Tow Services,Service Issue / Problem,Vehicles / Parking-Tow Services-Service Issue / Problem,48
Water,Account,Account Services,Water-Account-Account Services,1
Water,Account,Theft,Water-Account-Theft,1
Water,Leak,At Curb / In Yard,Water-Leak-At Curb / In Yard,2804
Water,Leak,Emergency Off / Flooding,Water-Leak-Emergency Off / Flooding,774
Water,Leak,Hydrant,Water-Leak-Hydrant,1074
Water,Leak,Ice Due to Leak,Water-Leak-Ice Due to Leak,36
Water,Leak,In Street,Water-Leak-In Street,1963
Water,Leak,Meter,Water-Leak-Meter,2353
Water,MFS Referral (Meter Field Services),Investigation,Water - MFS Referral - Investigation,1099
Water,No Water / Pressure,High Pressure,Water-No Water / Pressure-High Pressure,70
Water,No Water / Pressure,Low Pressure,Water-No Water / Pressure-Low Pressure,2502
Water,No Water / Pressure,No Water,Water-No Water / Pressure-No Water,3292
Water,Pipeline Referral,Curb-box / Service Line,Water-Pipeline Referral-Curb-box / Service Line,432
Water,Pipeline Referral,Hydrant,Water-Pipeline Referral-Hydrant,314
Water,Pipeline Referral,Materials Left At Site,Water-Pipeline Referral-Materials left at site,11
Water,Pipeline Referral,Restoration,Water-Pipeline Referral-Restoration,2328
Water,Pipeline Referral,Restoration Issue,Water-Pipeline Referral-Pipeline/Restoration Issues,217
Water,Pipeline Referral,Valve,Water-Pipeline Referral-Valve,163
Water,Pipeline Referral,Water Main,Water-Pipeline Referral-Water Main,321
Water,Quality,Color / Cloudy,Water-Quality-Color / Cloudy,442
Water,Quality,Smell / Odor,Water-Quality-Smell / Odor,156
Water,Quality,Taste,Water-Quality-Taste,363
Water,Services,Call Back Request,Water-Services-Call Back Request,131
Water,Services,Feedback,Water-Services-Feedback,248
Water,Services,Pipeline Restoration,Water - Services - Pipeline Restoration,3
Water,Services,Question,Water-Services-Question,146
Water,Services,Service Issue / Problem,Water-Services-Service Issue / Problem,504
